Country,Top 5 Species 2006 (1st),Top 5 Species 2006 (2nd),Top 5 Species 2006 (3rd),Top 5 Species 2006 (4th),Top 5 Species 2006 (5th),Total Landings 2006 (volume) T,Total Landings 2006 (value) ET,Number of non-trawlers (on 1 December 2007),Number of trawlers (on 1 December 2007),Number of vessels (on 1 December 2007),Tonnage in GT (on 1 December 2007),Engine power in kW (on 1 December 2007)
BE,Plaice=5139,Common sole=3991,Skate=1861,Cod=1551,Anglerfishes=1193,18259,82910,4,99,103,19578,60620
BG,Sea snails=2773,Sprat=2655,Common carp=723,Bighead carp=472,Crucian carp=135,4389,1698,2507,49,2556,8337,63101
DK,Sandeels=256763,Sprat=183794,Herring=139660,Blue whiting=58184,Blue mussel=54809,893954,445754,2266,713,2979,78069,281030
DE,Herring=80552,Blue whiting=36442,Sprat=30797,Common shrimp=18819,Saithe=17790,136686,113471,1459,440,1899,69342,162103
EE,Sprat=46689,Herring=23192,Northern prawn=6154,Perch=1680,Redfishes=1260,n/a,n/a,794,171,965,19336,49177
IE,Blue whiting=54910,Mackerel=41226,Herring=30780,Atlantic horse mackerel=28856,Edible crab=9808,220211,314810,1214,741,1955,71388,208993
EL,Anchovy=14156,Pilchard=11321,European hake=4794,Bogue=4059,Picarels=3355,96016,336186,16778,879,17657,90653,519940
ES,Pilchard=70099,Mackerel=66237,Blue whiting=56702,Skipjack tuna=42113,European hake=32522,777543,1679668,11507,1514,13021,468035,1059350
FR,Yellowfin tuna=63260,Skipjack tuna=55126,Pilchard=40294,Herring=39607,Coquille St-Jacques=26876,325911,842042,5525,2061,7586,207992,1060490
IT,Anchovy=81174,Striped venus=19510,European hake=18579,Pilchard=14215,Deepwater rose shrimp=13986,299266,1518120,9455,4403,13858,197687,1161353
CY,Albacore=507,Picarels=259,Bogue=253,Octopuses=119,Bluefin tuna=110,1900,5463,852,15,867,4994,38725
LV,Sprat=54638,Herring=21762,Jack and horse mackerels=17758,Sardinellas=15589,Pilchard=8281,n/a,n/a,759,121,880,33806,57219
LT,Jack and horse mackerels=56259,Anchovy=25791,Round sardinella=24846,Sprat=10814,Pichard=8711,n/a,n/a,194,53,247,60960,68891
MT,Common dolphinfish=559,Swordfish=267,Bluefin tuna=261,Spurdog=32,Groupers=18,1298,5612,1372,22,1394,15064,97710
NL,Blue whiting=96607,Herring=95915,Atlantic horse mackerel=63599,Round sandinella=45414,Plaice=23947,781360,335687,231,609,840,163754,388950
PL,Sprat=55891,Herring=22070,Cod=15947,Flounder=9427,Deepwater redfish=4456,n/a,n/a,649,222,871,31241,99403
PT,Pilchard=74132,Chub mackerel=17820,Atlantic horse mackerel=17314,Redfish=12806,Skipjack tuna=11179,162526,213021,7946,720,8666,106624,380730
RO,Goldfish=2507,Freshwater bream=1278,Sprat=491,Roaches=250,Sheatfish=233,n/a,n/a,416,24,440,2606,8700
SI,Anchovy=410,Pilchard=298,Common carp=80,Sprat=39,Whiting=33,931,1514,149,20,169,962,10234
FI,Herring=79955,Sprat=19020,Perch=13144,Pike=10165,Whitefish=4612,26135,9296,3058,108,3166,15994,167746
SE,Herring=103352,Sprat=102748,Sandeels=32767,Cod=13247,Mackerel=3386,270170,116577,1214,347,1561,43497,215677
GB,Herring=109611,Mackerel=103046,Blue whiting=82141,Norway lobster=41401,Haddock=39799,426049,679924,4427,2413,6840,212609,860954
AT,Freshwater fish=360,n/a=n/a,n/a=n/a,n/a=n/a,n/a=n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CZ,Common carp=3656,Freshwater bream=217,Pike=156,Pike-perch=147,Grass carp=92,n/a,n/a,n/a,n/a,n/a,n/a,n/a
LU,n/a=n/a,n/a=n/a,n/a=n/a,n/a=n/a,n/a=n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
HU,Common carp=3737,Carps=1385,Silver carp=754,Grass carp=393,Pike=275,n/a,n/a,n/a,n/a,n/a,n/a,n/a
SK,Common carp=1184,Freshwater bream=95,Goldfish=72,Pike-perch=65,Pike=61,n/a,n/a,n/a,n/a,n/a,n/a,n/a
EU,Common carp=0,Freshwater bream=0,Goldfish=0,Pike-perch=0,Pike=0,4442604,6701753,72776,15744,88520,1922528,7021096